,intercept,predictor
sample_1,1.0,1.0
sample_2,1.0,1.0
sample_3,1.0,1.0
sample_4,1.0,1.0
sample_5,1.0,0.0
sample_6,1.0,0.0
sample_7,1.0,1.0
sample_8,1.0,0.0
sample_9,1.0,1.0
sample_10,1.0,0.0
sample_11,1.0,1.0
sample_12,1.0,1.0
sample_13,1.0,0.0
sample_14,1.0,0.0
sample_15,1.0,1.0
sample_16,1.0,1.0
sample_17,1.0,0.0
sample_18,1.0,0.0
sample_19,1.0,1.0
sample_20,1.0,0.0
sample_21,1.0,1.0
sample_22,1.0,1.0
sample_23,1.0,1.0
sample_24,1.0,1.0
sample_25,1.0,0.0
sample_26,1.0,0.0
sample_27,1.0,0.0
sample_28,1.0,0.0
sample_29,1.0,0.0
sample_30,1.0,0.0
